table_name,column_name,data_type,mode_value
planet_osm_point,osm_id,bigint,4461142650
planet_osm_point,addr:city,text,London
planet_osm_point,addr:country,text,GB
planet_osm_point,addr:housenumber,text,1
planet_osm_point,addr:postcode,text,E8 4QJ
planet_osm_point,addr:street,text,Notting Hill Gate
planet_osm_point,aerialway,text,
planet_osm_point,aeroway,text,
planet_osm_point,amenity,text,bicycle_parking
planet_osm_point,barrier,text,gate
planet_osm_point,bicycle,text,yes
planet_osm_point,brand,text,Royal Mail
planet_osm_point,bus,text,yes
planet_osm_point,construction,text,
planet_osm_point,covered,text,no
planet_osm_point,cuisine,text,coffee_shop
planet_osm_point,denomination,text,
planet_osm_point,disused,text,
planet_osm_point,ele,text,
planet_osm_point,emergency,text,fire_hydrant
planet_osm_point,entrance,text,yes
planet_osm_point,foot,text,yes
planet_osm_point,generator:source,text,solar
planet_osm_point,harbour,text,
planet_osm_point,highway,text,crossing
planet_osm_point,historic,text,memorial
planet_osm_point,horse,text,no
planet_osm_point,information,text,guidepost
planet_osm_point,junction,text,
planet_osm_point,landuse,text,residential
planet_osm_point,leisure,text,picnic_table
planet_osm_point,man_made,text,surveillance
planet_osm_point,military,text,
planet_osm_point,name,text,Co-op Food
planet_osm_point,name:en,text,New World
planet_osm_point,natural,text,tree
planet_osm_point,office,text,company
planet_osm_point,operator,text,Royal Mail
planet_osm_point,place,text,suburb
planet_osm_point,population,text,
planet_osm_point,power,text,generator
planet_osm_point,public_transport,text,platform
planet_osm_point,railway,text,switch
planet_osm_point,ref,text,66749
planet_osm_point,religion,text,christian
planet_osm_point,shop,text,convenience
planet_osm_point,sport,text,pilates
planet_osm_point,surface,text,asphalt
planet_osm_point,tourism,text,information
planet_osm_point,waterway,text,lock_gate
planet_osm_point,website,text,https://etautz.com
planet_osm_point,wheelchair,text,yes
planet_osm_point,tags,USER-DEFINED,{"natural": "tree", "osm_uid": "0", "osm_user": "", "leaf_type": "broadleaved", "denotation": "urban", "leaf_cycle": "deciduous", "osm_version": "1", "osm_changeset": "0", "osm_timestamp": "2022-01-07T12:54:26Z"}
planet_osm_point,way,USER-DEFINED,{"type":"Point","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[-4331.241011682846,6710730.155310093]}
planet_osm_line,osm_id,bigint,-6413186
planet_osm_line,access,text,private
planet_osm_line,addr:city,text,London
planet_osm_line,addr:country,text,GB
planet_osm_line,addr:housenumber,text,7
planet_osm_line,addr:postcode,text,E15 1XQ
planet_osm_line,addr:street,text,Tiptree Crescent
planet_osm_line,addr:state,text,England
planet_osm_line,addr:suburb,text,East Ham
planet_osm_line,admin_level,text,6
planet_osm_line,aerialway,text,
planet_osm_line,aeroway,text,apron
planet_osm_line,amenity,text,parking
planet_osm_line,area,text,
planet_osm_line,barrier,text,fence
planet_osm_line,bicycle,text,yes
planet_osm_line,boundary,text,administrative
planet_osm_line,brand,text,Transport for London
planet_osm_line,bridge,text,yes
planet_osm_line,building,text,yes
planet_osm_line,building:levels,text,2
planet_osm_line,building:use,text,apartments
planet_osm_line,bus,text,yes
planet_osm_line,construction,text,residential
planet_osm_line,covered,text,yes
planet_osm_line,cuisine,text,sandwich
planet_osm_line,cutting,text,yes
planet_osm_line,denomination,text,roman_catholic
planet_osm_line,disused,text,
planet_osm_line,embankment,text,yes
planet_osm_line,foot,text,yes
planet_osm_line,generator:source,text,solar
planet_osm_line,harbour,text,
planet_osm_line,highway,text,footway
planet_osm_line,historic,text,building
planet_osm_line,horse,text,yes
planet_osm_line,industrial,text,
planet_osm_line,junction,text,roundabout
planet_osm_line,landuse,text,residential
planet_osm_line,layer,text,1
planet_osm_line,leisure,text,garden
planet_osm_line,lock,text,
planet_osm_line,man_made,text,bridge
planet_osm_line,military,text,
planet_osm_line,motorcar,text,no
planet_osm_line,name,text,Docklands Light Railway
planet_osm_line,name:en,text,Wardour Street
planet_osm_line,natural,text,wood
planet_osm_line,office,text,company
planet_osm_line,oneway,text,yes
planet_osm_line,operator,text,Transport for London
planet_osm_line,place,text,neighbourhood
planet_osm_line,population,text,
planet_osm_line,power,text,generator
planet_osm_line,power_source,text,
planet_osm_line,public_transport,text,platform
planet_osm_line,railway,text,rail
planet_osm_line,ref,text,A118
planet_osm_line,religion,text,christian
planet_osm_line,route,text,bicycle
planet_osm_line,service,text,driveway
planet_osm_line,shop,text,convenience
planet_osm_line,sport,text,tennis
planet_osm_line,surface,text,asphalt
planet_osm_line,toll,text,
planet_osm_line,tourism,text,hotel
planet_osm_line,tracktype,text,grade1
planet_osm_line,tunnel,text,yes
planet_osm_line,water,text,wastewater
planet_osm_line,waterway,text,stream
planet_osm_line,website,text,https://uk-air.defra.gov.uk/networks/site-info?site_id=CA1
planet_osm_line,wetland,text,
planet_osm_line,wheelchair,text,yes
planet_osm_line,width,text,1.5
planet_osm_line,wood,text,
planet_osm_line,z_order,integer,0
planet_osm_line,tags,USER-DEFINED,{"osm_uid": "0", "building": "yes", "osm_user": "", "osm_version": "1", "osm_changeset": "0", "osm_timestamp": "2019-06-07T14:13:55Z"}
planet_osm_line,way,USER-DEFINED,{"type":"LineString","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[[-18924.992483750346,6711544.120871848],[-18928.454519914016,6711579.229470267]]}
planet_osm_polygon,osm_id,bigint,-10362674
planet_osm_polygon,access,text,private
planet_osm_polygon,addr:city,text,London
planet_osm_polygon,addr:country,text,GB
planet_osm_polygon,addr:housenumber,text,13
planet_osm_polygon,addr:postcode,text,E1 5EG
planet_osm_polygon,addr:street,text,Buxton Street
planet_osm_polygon,addr:state,text,
planet_osm_polygon,addr:suburb,text,
planet_osm_polygon,admin_level,text,
planet_osm_polygon,aerialway,text,
planet_osm_polygon,aeroway,text,
planet_osm_polygon,amenity,text,place_of_worship
planet_osm_polygon,area,text,yes
planet_osm_polygon,barrier,text,kerb
planet_osm_polygon,bicycle,text,yes
planet_osm_polygon,boundary,text,political
planet_osm_polygon,brand,text,
planet_osm_polygon,bridge,text,
planet_osm_polygon,building,text,yes
planet_osm_polygon,building:levels,text,5
planet_osm_polygon,building:use,text,
planet_osm_polygon,bus,text,
planet_osm_polygon,construction,text,
planet_osm_polygon,covered,text,yes
planet_osm_polygon,cuisine,text,
planet_osm_polygon,cutting,text,
planet_osm_polygon,denomination,text,
planet_osm_polygon,disused,text,
planet_osm_polygon,embankment,text,
planet_osm_polygon,foot,text,yes
planet_osm_polygon,generator:source,text,
planet_osm_polygon,harbour,text,
planet_osm_polygon,highway,text,pedestrian
planet_osm_polygon,historic,text,ruins
planet_osm_polygon,horse,text,no
planet_osm_polygon,industrial,text,
planet_osm_polygon,junction,text,yes
planet_osm_polygon,landuse,text,animal_enclosure
planet_osm_polygon,layer,text,1
planet_osm_polygon,leisure,text,park
planet_osm_polygon,lock,text,
planet_osm_polygon,man_made,text,bridge
planet_osm_polygon,military,text,
planet_osm_polygon,motorcar,text,
planet_osm_polygon,name,text,2
planet_osm_polygon,name:en,text,
planet_osm_polygon,natural,text,
planet_osm_polygon,office,text,
planet_osm_polygon,oneway,text,
planet_osm_polygon,operator,text,Islington Council
planet_osm_polygon,place,text,neighbourhood
planet_osm_polygon,population,text,
planet_osm_polygon,power,text,
planet_osm_polygon,power_source,text,
planet_osm_polygon,public_transport,text,platform
planet_osm_polygon,railway,text,platform
planet_osm_polygon,ref,text,1
planet_osm_polygon,religion,text,jewish
planet_osm_polygon,route,text,
planet_osm_polygon,service,text,
planet_osm_polygon,shop,text,funeral_directors
planet_osm_polygon,sport,text,
planet_osm_polygon,surface,text,paving_stones
planet_osm_polygon,toll,text,
planet_osm_polygon,tourism,text,attraction
planet_osm_polygon,tracktype,text,
planet_osm_polygon,tunnel,text,
planet_osm_polygon,water,text,
planet_osm_polygon,waterway,text,
planet_osm_polygon,website,text,https://lhalondon.com/properties/leinster-house/
planet_osm_polygon,wetland,text,
planet_osm_polygon,wheelchair,text,yes
planet_osm_polygon,width,text,
planet_osm_polygon,wood,text,
planet_osm_polygon,z_order,integer,0
planet_osm_polygon,tags,USER-DEFINED,{"area": "yes", "covered": "yes", "highway": "pedestrian", "osm_uid": "0", "surface": "concrete", "osm_user": "", "way_area": "802.95", "osm_version": "2", "osm_changeset": "0", "osm_timestamp": "2025-02-03T16:38:15Z"}
planet_osm_polygon,way,USER-DEFINED,{"type":"Polygon","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[[[-11092.597639331936,6724961.487174857],[-11091.061430358988,6724948.624485028],[-11089.38050604801,6724934.489881345],[-11082.512093466064,6724936.120106881],[-11080.374759242834,6724936.639629373],[-11079.473071367407,6724944.396641556],[-11076.79027163929,6724949.771019231],[-11064.845690277172,6724955.44994883],[-11045.487230828221,6724952.601526232],[-11050.97528172433,6724960.286895141],[-11056.942006430849,6724966.395783297],[-11059.090472603159,6724968.670942227],[-11061.261202673628,6724969.029235031],[-11070.912602525405,6724969.029235031],[-11085.595643361037,6724968.240990885],[-11087.777505380587,6724968.115588415],[-11090.1931383308,6724967.219856538],[-11091.996514081651,6724965.1059297],[-11092.597639331936,6724961.487174857]]]}
planet_osm_roads,osm_id,bigint,1006300118
planet_osm_roads,access,text,no
planet_osm_roads,addr:city,text,
planet_osm_roads,addr:country,text,
planet_osm_roads,addr:housenumber,text,
planet_osm_roads,addr:postcode,text,
planet_osm_roads,addr:street,text,
planet_osm_roads,addr:state,text,
planet_osm_roads,addr:suburb,text,
planet_osm_roads,admin_level,text,
planet_osm_roads,aerialway,text,
planet_osm_roads,aeroway,text,
planet_osm_roads,amenity,text,
planet_osm_roads,area,text,
planet_osm_roads,barrier,text,
planet_osm_roads,bicycle,text,yes
planet_osm_roads,boundary,text,
planet_osm_roads,brand,text,
planet_osm_roads,bridge,text,yes
planet_osm_roads,building,text,
planet_osm_roads,building:levels,text,
planet_osm_roads,building:use,text,
planet_osm_roads,bus,text,yes
planet_osm_roads,construction,text,
planet_osm_roads,covered,text,yes
planet_osm_roads,cuisine,text,
planet_osm_roads,cutting,text,yes
planet_osm_roads,denomination,text,
planet_osm_roads,disused,text,
planet_osm_roads,embankment,text,yes
planet_osm_roads,foot,text,yes
planet_osm_roads,generator:source,text,
planet_osm_roads,harbour,text,
planet_osm_roads,highway,text,primary
planet_osm_roads,historic,text,
planet_osm_roads,horse,text,yes
planet_osm_roads,industrial,text,
planet_osm_roads,junction,text,circular
planet_osm_roads,landuse,text,
planet_osm_roads,layer,text,1
planet_osm_roads,leisure,text,
planet_osm_roads,lock,text,
planet_osm_roads,man_made,text,
planet_osm_roads,military,text,
planet_osm_roads,motorcar,text,yes
planet_osm_roads,name,text,Romford Road
planet_osm_roads,name:en,text,
planet_osm_roads,natural,text,
planet_osm_roads,office,text,
planet_osm_roads,oneway,text,yes
planet_osm_roads,operator,text,Transport for London
planet_osm_roads,place,text,
planet_osm_roads,population,text,
planet_osm_roads,power,text,
planet_osm_roads,power_source,text,
planet_osm_roads,public_transport,text,
planet_osm_roads,railway,text,rail
planet_osm_roads,ref,text,A11
planet_osm_roads,religion,text,
planet_osm_roads,route,text,
planet_osm_roads,service,text,yard
planet_osm_roads,shop,text,
planet_osm_roads,sport,text,
planet_osm_roads,surface,text,asphalt
planet_osm_roads,toll,text,yes
planet_osm_roads,tourism,text,
planet_osm_roads,tracktype,text,
planet_osm_roads,tunnel,text,yes
planet_osm_roads,water,text,
planet_osm_roads,waterway,text,
planet_osm_roads,website,text,
planet_osm_roads,wetland,text,
planet_osm_roads,wheelchair,text,
planet_osm_roads,width,text,
planet_osm_roads,wood,text,
planet_osm_roads,z_order,integer,37
planet_osm_roads,tags,USER-DEFINED,{"bus": "yes", "lit": "yes", "ref": "A117", "name": "Woolwich Manor Way", "lanes": "1", "access": "no", "oneway": "yes", "highway": "primary_link", "osm_uid": "0", "surface": "paved", "maxspeed": "20 mph", "osm_user": "", "sidewalk": "no", "osm_version": "13", "postal_code": "E6", "osm_changeset": "0", "osm_timestamp": "2025-09-05T19:13:02Z"}
planet_osm_roads,way,USER-DEFINED,{"type":"LineString","crs":{"type":"name","properties":{"name":"EPSG:3857"}},"coordinates":[[-10048.142516964044,6712188.476271333],[-10051.248330757177,6712178.942745379],[-10146.426495385427,6711872.838424015]]}
